Barrio,Titulo,Sup. Terreno,Frente,Contrafrente,Lat Derecho,Lat Izquierdo,LFI,LIB,Zonificacion,Mixtura Usos,Alt. Max.,Cant. Pisos,Sup. Vendible,Sup. Edif. Cub.,Precio,Plusvalia,Factibilidad
Villa Gral. Mitre,JUAN B JUSTO 4381,271.71m2,7.97m,8.06m,33.77m,34.03m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2aII 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,879.26m2,,U$S  565.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/681
Villa Gral. Mitre,LUIS VIALE 2350,271.71m2,7.97m,8.06m,33.77m,34.03m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2aII 16 - FOT: 3.46),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,879.26m2,,U$S  565.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/681
Villa Lugano,Av. Escalada  4310,13234.43m2,67.26m,173m,140m,140m,No Alcanzada,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA  2,,PB + 5 PISOS + 2 RETIROS,42700.00m2,,U$S  2.890.000,PLUSVALIA  U$S 0,https://lideresenterrenos.com.ar/estudioTerreno/1507
Villa Luro,LEOPARDI 267,292.33m2,8.83m,8.78m,33.20m,33.20m,No Alcanzada,m,USAB 2  (Codigo Anterior : R2BI - FOT: 1.6),MIXTURA  2,,PB + 3 PISOS + 1 RETIRO,927.27m2,,U$S  240.000,PLUSVALIA  U$S 8.446,https://lideresenterrenos.com.ar/estudioTerreno/1609
Villa Ortuzar,COMBATIENTE DE MALVINAS  3075,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,TRONADOR 1415,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,CHORROARIN  1428,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,GUEVARA 1339,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,AV DE LOS INCAS 4250,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
Villa Ortuzar,HEREDIA 1395,699.46m2,20m,20.02m,40.39m,29.50m,20.91 m,m,USAM  (Codigo Anterior : E3 - FOT: 3),MIXTURA 3,,PB + 5 PISOS + 2 RETIROS,2385.00m2,,U$S  389.000,PLUSVALIA  U$S 33.856,https://lideresenterrenos.com.ar/estudioTerreno/613
